"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.0088237114949832,0.00196303914682292,0.00739876429703561,0.0026660463133628,0.000308904637317312,0.00385134330074647,0.00136017687076816,0.000602862276054754,4.48409957396096e-05,0.0270196893328308,0.0102048321027839,0.210204832102784
"2",2,0.00914788100892975,0.00203515816912384,0.00767058345469266,0.00276399273172124,0.000320253315953499,0.00399283569729119,0.00141014766540814,0.000625010503715698,4.64883845738948e-05,0.0280123509314099,0.010559285208764,0.220764117311548
"3",3,0.0103317309158047,0.00229853302135915,0.00866325263126481,0.0031216878673332,0.000361698089655501,0.00450955844038228,0.00159263836251535,0.000705894658843799,5.25045614016047e-05,0.0316374985485604,0.0120462096875711,0.232810326999119
"4",4,0.0102320811827262,0.00227636362845517,0.00857969540166481,0.00309157913092985,0.000358209504985332,0.00446606366699453,0.00157727733646767,0.000699086291987503,5.19981539494835e-05,0.0313323542981605,0.0118410191394876,0.244651346138607
"5",5,0.0108789867824777,0.0024202827737415,0.00912213177412724,0.00328703886352558,0.000380856680131912,0.00474842280228979,0.00167699796251632,0.000743284811225183,5.52856471159225e-05,0.0333132880971511,0.0126065919220573,0.257257938060664
"6",6,0.0117060629392949,0.00260428503561952,0.00981564283729694,0.00353693635167514,0.000409811350782768,0.00510942216379159,0.00180449191554348,0.000799793120076047,5.94887444684661e-05,0.0358459344585488,0.0135762582798519,0.270834196340516
"7",7,0.0113155830965016,0.00251741374365986,0.0094882218511038,0.00341895455388932,0.000396141249002314,0.00493898686256109,0.00174429937060696,0.000773114373052902,5.75043748551744e-05,0.034650219475233,0.0129960108801363,0.283830207220652
"8",8,0.0113729216760376,0.0025301700397283,0.00953630078425516,0.00343627915801679,0.000398148584931866,0.00496401380890856,0.00175313812397418,0.000777031915754124,5.7795762328819e-05,0.0348257998539354,0.0129674830359218,0.296797690256574
"9",9,0.0119797817125453,0.00266518012125514,0.0100451585788424,0.00361963929665895,0.000419393826187358,0.00522889399423914,0.00184668571853465,0.000818494402720488,6.08797489626808e-05,0.0366841073999461,0.0136837862274134,0.310481476483987
"10",10,0.0130329672830425,0.00289948566319523,0.0109282644919922,0.00393785476745119,0.000456264241416509,0.00568858481637033,0.00200903448236624,0.000890451180828993,6.62319060120736e-05,0.0399091388326753,0.0149659908939735,0.325447467377961
"11",11,0.0140635750469041,0.00312876824871835,0.0117924387039258,0.0042492484514954,0.000492344242184107,0.00613842095497279,0.00216790287284292,0.000960865375875433,7.14693254783378e-05,0.0430650332223972,0.0161543434450163,0.341601810822977
"12",12,0.014743862931898,0.00328011405712469,0.0123628664335791,0.00445479449737925,0.000516160080055156,0.00643535067552635,0.00227276938475899,0.00100734467236571,7.49264632338126e-05,0.0451481891959211,0.0168971831691214,0.358498993992098
"13",13,0.0150851920206672,0.00335605062458661,0.0126490740545967,0.00455792560714795,0.000528109489148147,0.0065843328243793,0.0023253853312491,0.00103066529333751,7.66610548763437e-05,0.0461933962999889,0.0172533116308988,0.375752305622997
"14",14,0.0156081267964676,0.00347238958656591,0.0130875597361685,0.0047159280907904,0.000546416635449459,0.0068125816000392,0.00240599583028552,0.0010663937562804,7.93185438555663e-05,0.0477947105759025,0.0178130997330975,0.393565405356095
"15",15,0.0161411454072952,0.00359097193138018,0.0135345008073593,0.00487697736162826,0.000565076801384699,0.00704523173339308,0.00248816075448423,0.00110281117689594,8.20272776203592e-05,0.0494269032514412,0.0183818048401009,0.411947210196196
"16",16,0.0162399643045543,0.00361295648559819,0.013617361373384,0.00490683506457764,0.000568536299764183,0.00708836386641471,0.00250339370702616,0.00110956277857203,8.25294628689939e-05,0.0497295033427602,0.0184346572885205,0.430381867484716
"17",17,0.0148977189495121,0.0033143428944708,0.0124918761377897,0.0045012814285059,0.000521546343799974,0.0065025052218932,0.00229648632028053,0.00101785657419027,7.57083402290282e-05,0.0456193222106715,0.0165466209785646,0.446928488463281
"18",18,0.0147849857906493,0.00328926279024045,0.0123973483337743,0.00446721959151691,0.000517599728413473,0.00645329983973569,0.00227910848156254,0.00101015430867791,7.51354444471167e-05,0.0452741143090177,0.0162420149495291,0.46317050341281
"19",19,0.0144076099299103,0.00320530678282589,0.0120809151586204,0.00435319710530491,0.000504388376992907,0.00628858411960509,0.00222093591804941,0.000984370864776479,7.32176676280024e-05,0.0441185259237134,0.0155539521168998,0.478724455529709
"20",20,0.0145531872232054,0.00323769382605473,0.0122029830753586,0.00439718265563931,0.000509484815267497,0.0063521251968028,0.00224337668658107,0.000994317139473662,7.39574731839912e-05,0.0445643080915671,0.0156113858055648,0.494335841335274
"21",21,0.0153094762641987,0.00340594785324353,0.0128371384824026,0.00462569212251424,0.000535961337312434,0.00668222764100823,0.00235995879171442,0.0010459890615291,7.78008392872885e-05,0.0468801923932106,0.0165408116195439,0.510876652954818
"22",22,0.0170553354124139,0.00379435468802432,0.0143010576439495,0.00515319592274571,0.000597081194562203,0.00744425424833195,0.00262908332444324,0.00116527136358107,8.66730766299968e-05,0.0522263068746819,0.0188254408434769,0.529702093798295
"23",23,0.0185699326058356,0.00413131194054164,0.0155710615017877,0.00561082492229399,0.000650104924653762,0.00810534043157025,0.00286255878113672,0.00126875315940492,9.43700697078037e-05,0.0568642583369324,0.020697491161306,0.550399584959601
