"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.000637894198032074,0.00509710719375392,0.00665102955294105,0.000420224139935821,0.00133625230109088,0.00156299194494115,0.000154182957818179,2.41855620106948e-05,2.41855620106948e-05,0.0159080534125345,0.00538992956053742,0.205389929560537
"2",2,0.000734092525806977,0.00586578198346238,0.00765404529277416,0.000483596498043459,0.00153776728154826,0.00179870064380193,0.000177434686332492,2.78328919737242e-05,2.78328919737242e-05,0.0183070846957171,0.00657175469832521,0.211961684258863
"3",3,0.000774755863314321,0.0061907032490424,0.00807802321939103,0.00051038419431607,0.00162294830135038,0.00189833545655689,0.000187263265540428,2.93746298886947e-05,2.93746298886947e-05,0.0193211628092889,0.0070154523849025,0.218977136643765
"4",4,0.000820586780118944,0.00655691616720635,0.00855588111972359,0.000540576125291627,0.00171895429768992,0.00201063206313504,0.000198340880502683,3.11122949808131e-05,3.11122949808131e-05,0.0204641120236298,0.00751698907668566,0.226494125720451
"5",5,0.000880624518840793,0.00703664899888899,0.00918186702108884,0.000580127052696068,0.00184472055605512,0.00215773874995588,0.000212852371852514,3.3388607349414e-05,3.3388607349414e-05,0.021961356484077,0.00818574396407741,0.234679869684528
"6",6,0.000887706631645176,0.00709323877229274,0.00925570895554212,0.000584792520372889,0.0018595560719771,0.0021750916045524,0.000214564162151204,3.36571234746986e-05,3.36571234746986e-05,0.022137972965483,0.00818767591512321,0.242867545599651
"7",7,0.00102909399612828,0.00822299752356528,0.0107298900070247,0.000677933959534741,0.00215573244686587,0.0025215241516508,0.000248738359253754,3.90177818437261e-05,3.90177818437261e-05,0.0256639460077108,0.00981027070513162,0.252677816304783
"8",8,0.00115430265296386,0.00922347996633684,0.0120353831114716,0.000760417387497522,0.00241801787966838,0.00282831503119582,0.000279002063038659,4.37650294962602e-05,4.37650294962602e-05,0.0287864481511651,0.0111042171797428,0.263782033484526
"9",9,0.0011523864933804,0.00920816885231923,0.0120154041963833,0.000759155083316947,0.00241400393400065,0.00282361998615008,0.000278538915461613,4.36923788959394e-05,4.36923788959394e-05,0.0287386622188041,0.0110369793208751,0.274819012805401
"10",10,0.00124322970447145,0.00993405346795669,0.0129625845963848,0.000818999663135219,0.00260430108709184,0.00304620738015042,0.000300496279279828,4.7136671259581e-05,4.7136671259581e-05,0.0310041455209893,0.0119136113353506,0.286732624140752
"11",11,0.00120692886127912,0.0096439908062398,0.0125840923924837,0.000795085837525108,0.00252825856248991,0.00295726171223367,0.000291722141825759,4.57603359726681e-05,4.57603359726681e-05,0.0300988609860224,0.0114922559028122,0.298224880043564
"12",12,0.00121609584442929,0.00971723978060557,0.012679672311585,0.000801124750595596,0.00254746143714571,0.00297972299322247,0.000293937858132197,4.61078993148544e-05,4.61078993148544e-05,0.0303274707743455,0.0115183766162052,0.309743256659769
"13",13,0.00121243913497758,0.00968802076574502,0.0126415454831786,0.000798715828255373,0.00253980141071133,0.00297076318854696,0.00029305400892823,4.59692563024675e-05,4.59692563024675e-05,0.030236278332948,0.0113908708972565,0.321134127557025
"14",14,0.00129684352479715,0.0103624558426919,0.0135215912538091,0.000854318720127031,0.0027166106064471,0.00317757394464514,0.000313455069974666,4.91694227411241e-05,4.91694227411241e-05,0.0323411878079744,0.0122598744842903,0.333394002041316
"15",15,0.00134205604021917,0.0107237274114195,0.0139930013672141,0.000884103268201255,0.00281132118377665,0.00328835532129531,0.00032438321351269,5.0883641335324e-05,5.0883641335324e-05,0.0334687150883093,0.0126770998324517,0.346071101873767
"16",16,0.00142611768666158,0.0113954237901015,0.0148694735102155,0.000939480371781798,0.0029874124052342,0.00349432627490064,0.000344701431373177,5.407081276442e-05,5.407081276442e-05,0.0355650770957972,0.0134969639114223,0.35956806578519
"17",17,0.00146558732442821,0.0117108067724453,0.0152810052783983,0.000965481697135169,0.00307009287866003,0.00359103624042361,0.000354241485999234,5.55672919214486e-05,5.55672919214486e-05,0.0365493862613328,0.0138425716299946,0.373410637415184
"18",18,0.0013842222456246,0.0110606573749909,0.0144326490065124,0.000911881005411468,0.00289965039130841,0.00339167251653042,0.00033457504515097,5.24823600236816e-05,5.24823600236816e-05,0.0345202723055766,0.012869269329632,0.386279906744816
