"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"1",1,0.00580802818129311,0.00485066089866238,0.00546018473527061,0.00386138137327729,0.000638244855087155,0.000127648971017431,0.00485066089866238,0,3.19122427543576e-05,0.0256287221560247,0.0092821556472558,0.209282155647256
"2",2,0.00606283743380843,0.00506346862603781,0.00569973343365177,0.00403078752467484,0.00066624587184708,0.000133249174369416,0.00506346862603781,0,3.33122935923539e-05,0.0267531029840195,0.0096741615596254,0.218956317206881
"3",3,0.00634280349038428,0.00529728643152973,0.00596293229233378,0.00421691880404669,0.0006970113725697,0.00013940227451394,0.00529728643152973,0,3.48505686284849e-05,0.0279884916655363,0.0101018640568722,0.229058181263753
"4",4,0.00683058523622335,0.00570466459288983,0.00642150073581216,0.0045412132614452,0.000750613762222346,0.000150122752444469,0.00570466459288983,0,3.75306881111171e-05,0.0301408956220383,0.0108168731688187,0.239875054432572
"5",5,0.00715777059004407,0.00597791829498186,0.00672909092283812,0.00475873759008424,0.000786568196708139,0.000157313639341628,0.00597791829498186,0,3.93284098354068e-05,0.0315846459388153,0.0112761114118677,0.25115116584444
"6",6,0.00739291940757943,0.00617430631841798,0.00695015665185076,0.00491507279295116,0.000812408726107629,0.000162481745221526,0.00617430631841798,0,4.06204363053813e-05,0.0326222723968518,0.0116241194199604,0.2627752852644
"7",7,0.00755703704410054,0.00631137159727078,0.00710444526508572,0.00502418396888003,0.000830443631219839,0.000166088726243968,0.00631137159727078,0,4.15221815609918e-05,0.0333464640116326,0.0118861297226135,0.274661414987014
"8",8,0.00774363628175276,0.00646721271882648,0.00727986905388953,0.00514824170380266,0.000850949041950852,0.00017018980839017,0.00646721271882648,0,4.25474520975424e-05,0.0341698587795364,0.0121699561686236,0.286831371155637
"9",9,0.00745394580368403,0.00622527341846138,0.00700752817038646,0.00495564528706465,0.00081911492348176,0.000163822984696352,0.00622527341846138,0,4.09557461740879e-05,0.0328915597524101,0.0117034453908678,0.298534816546505
"10",10,0.0075187882074601,0.00627942751392272,0.00706848715547484,0.00499875479726743,0.000826240462358252,0.00016524809247165,0.00627942751392272,0,4.13120231179124e-05,0.0331776857659956,0.0117549573741827,0.310289773920688
"11",11,0.00795044985366319,0.00663993614152091,0.00747429653825149,0.00528573863897388,0.000873675808094856,0.000174735161618971,0.00663993614152091,0,4.36837904047426e-05,0.0350824520740489,0.0124419482526702,0.322731722173358
"12",12,0.00851698269178019,0.00711308444588236,0.0080068996624373,0.00566238959178793,0.000935932163931888,0.000187186432786378,0.00711308444588236,0,4.67966081965942e-05,0.037582356042685,0.0133084334079881,0.336040155581346
"13",13,0.00925077127207435,0.00772591886458956,0.00869674156402153,0.00615023804352196,0.00101656827165652,0.000203313654331304,0.00772591886458956,0,5.08284135828258e-05,0.0408202989483676,0.0142732182306469,0.350313373811993
"14",14,0.00969011837543586,0.00809284611574863,0.00910977612108282,0.00644233144740516,0.00106484817312482,0.000212969634624964,0.00809284611574863,0,5.32424086562407e-05,0.0427589783918271,0.0148036277028666,0.36511700151486
"15",15,0.0100647354102834,0.00840571308990697,0.00946195730054659,0.00669139002551805,0.00110601488025092,0.000221202976050183,0.00840571308990697,0,5.53007440125456e-05,0.0444120275164756,0.0152644436213001,0.38038144513616
"16",16,0.0105075661143058,0.00877554972183785,0.00987826682504246,0.00698579944962092,0.00115467759497866,0.000230935518995733,0.00877554972183785,0,5.77338797489329e-05,0.0463660788263682,0.0157248340051335,0.396106279141293
"17",17,0.0106837183865978,0.00892266590529047,0.0100438693183895,0.00710291167460623,0.00117403498753822,0.000234806997507644,0.00892266590529047,0,5.87017493769107e-05,0.0471433749245972,0.0161220560096972,0.41222833515099
"18",18,0.0105808581285968,0.00883676063487207,0.00994716937254348,0.00703452655802316,0.00116273166248317,0.000232546332496633,0.00883676063487207,0,5.81365831241581e-05,0.0466894899070115,0.0162191216048691,0.428447456755859
"19",19,0.0107254250030588,0.00895749780475239,0.0100830781210075,0.00713063969983579,0.00117861813220426,0.000235723626440852,0.00895749780475239,0,5.89309066102128e-05,0.0473274110986621,0.0164593414971244,0.444906798252984
"20",20,0.0109269197106593,0.00912577909901215,0.0102725052884275,0.00726460046697678,0.00120076040776476,0.000240152081552951,0.00912577909901215,0,6.00380203882376e-05,0.0482165341737938,0.0167561414917518,0.461662939744736
"21",21,0.0112582690153605,0.00940251038645489,0.0105840100468581,0.0074848931365858,0.00123717241927038,0.000247434483854076,0.00940251038645489,0,6.18586209635187e-05,0.0496786584958021,0.0172201403865707,0.478883080131306
"22",22,0.0115011379009744,0.00960534593927531,0.0108123334882237,0.00764636091218627,0.00126386130779938,0.000252772261559876,0.00960534593927531,0,6.31930653899689e-05,0.0507503508146842,0.0175671053522338,0.49645018548354
"23",23,0.0128782177223724,0.010755434581322,0.0121069398477908,0.00856189200223661,0.00141518876070026,0.000283037752140053,0.010755434581322,0,7.07594380350129e-05,0.0568269046859191,0.018741109308357,0.515191294791897
"24",24,0.0131777784852204,0.0110056171964478,0.012388559883633,0.00876105053138282,0.0014481075258484,0.00028962150516968,0.0110056171964478,0,7.24053762924197e-05,0.0581487577004424,0.0192249813800941,0.534416276171991
"25",25,0.0133704948960313,0.0111665671659162,0.0125697344874228,0.00888917517813067,0.00146928515341003,0.000293857030682005,0.0111665671659162,0,7.3464257670501e-05,0.0589991453351796,0.0197023318119699,0.554118607983961
"26",26,0.0139127438763094,0.0116194344461485,0.0130795081166842,0.00924968136831557,0.00152887295344059,0.000305774590688118,0.0116194344461485,0,7.64436476720291e-05,0.0613918934454068,0.020164494338282,0.574283102322243
"27",27,0.0143301420430488,0.0119680307172715,0.0134719082613497,0.00952718234730167,0.00157474088385151,0.000314948176770303,0.0119680307172715,0,7.87370441925754e-05,0.0632337201910575,0.0206198210699507,0.594902923392194
