"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"1",1,0.00579845789886117,0.00484266813531263,0.0054511876181052,0.00385501871297913,0.00063719317569903,0.000127438635139806,0.00484266813531263,0,3.18596587849514e-05,0.0255864919701945,0.00850354298211145,0.208503542982111
"2",2,0.00590586197666026,0.00493236824424373,0.00555215925388225,0.00392642472074665,0.000648995821611017,0.000129799164322203,0.00493236824424373,0,3.24497910805507e-05,0.0260604272167904,0.00869277828743048,0.217196321269542
"3",3,0.00621390958665546,0.00518963877566829,0.00584175785866345,0.00413122560431489,0.000682847207324775,0.000136569441464955,0.00518963877566829,0,3.41423603662386e-05,0.0274197296101263,0.00901766050394046,0.226213981773482
"4",4,0.00632878668333197,0.00528558008717835,0.00594975495339615,0.00420759993781961,0.000695471064102414,0.000139094212820483,0.00528558008717835,0,3.47735532051206e-05,0.0279266405790324,0.00922869879729096,0.235442680570773
"5",5,0.00614689760265783,0.00513367272309885,0.00577875922975139,0.0040866736808879,0.000675483253039322,0.000135096650607864,0.00513367272309885,0,3.3774162651966e-05,0.027124030025794,0.00909357702834629,0.24453625759912
"6",6,0.0062932595750538,0.00525590909564933,0.00591635556753684,0.00418398026693138,0.000691566986269648,0.00013831339725393,0.00525590909564933,0,3.45783493134823e-05,0.0277698723336577,0.00929420007957766,0.253830457678697
"7",7,0.0062889609699655,0.00525231905183932,0.00591231440637965,0.00418112240310893,0.00069109461208412,0.000138218922416824,0.00525231905183932,0,3.45547306042059e-05,0.0277509041482378,0.00927339973067432,0.263103857409372
"8",8,0.0063366313998907,0.00529213171859003,0.00595712984901811,0.00421281538124601,0.000696333120867109,0.000139266624173422,0.00529213171859003,0,3.48166560433553e-05,0.0279612564684188,0.00931423287163597,0.272418090281008
"9",9,0.00656757113270239,0.00548500446247672,0.00617423857585372,0.00436635223657686,0.000721711113483778,0.000144342222696756,0.00548500446247672,0,3.60855556741888e-05,0.0289803097619411,0.00964305048787875,0.282061140768886
"10",10,0.0068033168570799,0.00568189100151728,0.00639586546289214,0.00452308428410257,0.000747617237041747,0.000149523447408349,0.00568189100151728,0,3.73808618520872e-05,0.0300205701534113,0.00997435317522857,0.292035493944115
"11",11,0.0070638209022365,0.00589945481945026,0.00664076789215749,0.00469627653390448,0.000776244055190823,0.000155248811038165,0.00589945481945026,0,3.8812202759541e-05,0.0311700800361875,0.0103367147217911,0.302372208665906
"12",12,0.00755034539826678,0.00630578296998104,0.00709815438265628,0.00501973512741912,0.000829708285523821,0.000165941657104764,0.00630578296998104,0,4.14854142761909e-05,0.033316936205209,0.0109726300534225,0.313344838719329
"13",13,0.00785202530669132,0.00655773542097297,0.00738176664821365,0.00522030253906401,0.000862859923812233,0.000172571984762446,0.00655773542097297,0,4.31429961906115e-05,0.0346481402406802,0.0113432194941533,0.324688058213482
"14",14,0.00804920131886553,0.0067224098926789,0.00756713376735104,0.00535139208561939,0.00088452761745775,0.00017690552349155,0.0067224098926789,0,4.42263808728873e-05,0.0355182064790159,0.0116075972794605,0.336295655492942
"15",15,0.00816775017770554,0.006821417730831,0.00767858272200778,0.00543020753572731,0.000897554964583025,0.000179510992916605,0.006821417730831,0,4.48777482291511e-05,0.0360413196028314,0.0117917616249925,0.348087417117935
"16",16,0.00831031412963253,0.00694048213024256,0.0078126085031875,0.00552498906420625,0.000913221332926652,0.00018264426658533,0.00694048213024256,0,4.56610666463324e-05,0.0366704026236697,0.0119938461551257,0.36008126327306
"17",17,0.00794463679832798,0.00663508128212007,0.0074688316274391,0.0052818739153719,0.000873037010805272,0.000174607402161054,0.00663508128212007,0,4.36518505402634e-05,0.0350568011688857,0.0114679304651881,0.371549193738249
