"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00722344882216228,0.00603277044488278,0.00679083567841738,0.00480240278836063,0.000793785584852997,0.000158757116970599,0.00603277044488278,0,0.0318744601597721,0.0128044255822686,0.212804425582269
"2",2,0.00740698764372716,0.00618605561454136,0.00696338233978965,0.00492442585104938,0.000813954686123863,0.000162790937224773,0.00618605561454136,0,0.0326843504213037,0.0130931136995348,0.225897539281803
"3",3,0.0079573928671146,0.0066457347022056,0.00748082373386432,0.0052903545984663,0.000874438776605999,0.0001748877553212,0.0066457347022056,0,0.0351130890746139,0.0140440791966392,0.239941618478443
"4",4,0.00831748859933686,0.00694647399505056,0.00781935329311283,0.00552975890395473,0.000914009736190863,0.000182801947238173,0.00694647399505056,0,0.0367020609567441,0.0146471348501384,0.254588753328581
"5",5,0.00894850699048459,0.00747347836567943,0.00841257992347204,0.00594928212004745,0.000983352416536767,0.000196670483307353,0.00747347836567943,0,0.0394865162860339,0.0156936419302578,0.270282395258839
"6",6,0.00936287925368062,0.00781954750856843,0.00880213538628984,0.0062247713719525,0.00102888783007479,0.000205777566014958,0.00781954750856843,0,0.0413149908166533,0.016379019659725,0.286661414918564
"7",7,0.00926793096672463,0.00774025003814364,0.00871287356267353,0.0061616464119433,0.00101845395238732,0.000203690790477464,0.00774025003814364,0,0.0408960184581129,0.0162075570178386,0.302868971936402
"8",8,0.00935656372541257,0.00781427300144347,0.00879619809570379,0.00622057258667539,0.0010281938159794,0.000205638763195881,0.00781427300144347,0,0.0412871226806529,0.0162950389217908,0.319164010858193
"9",9,0.00986530380327566,0.00823915482471374,0.00927446967439815,0.00655880088019975,0.00108409931904128,0.000216819863808256,0.00823915482471374,0,0.0435320081561026,0.017165304252327,0.33632931511052
"10",10,0.0104021075171447,0.00868747440992301,0.00977912415485411,0.00691568686579398,0.00114308873814776,0.000228617747629553,0.00868747440992301,0,0.0459007282803234,0.0180744671500529,0.354403782260573
"11",11,0.0115712778909326,0.00966392439242719,0.0108782727864756,0.00769299244397164,0.00127156899900358,0.000254313799800715,0.00966392439242719,0,0.0510598531549886,0.0199702598743889,0.374374042134962
