"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00713089223092016,0.00595547043461463,0.00670382231159581,0.0047408679117656,0.000783614530870346,0.000156722906174069,0.00595547043461463,0,0.0314660414870987,0.0119691222887638,0.211969122288764
"2",2,0.00735029975578452,0.00613871188395191,0.00691008949568533,0.00488673774972488,0.000807725247888408,0.000161545049577682,0.00613871188395191,0,0.032434207328959,0.0123571380325018,0.224326260321266
"3",3,0.00782287411825652,0.00653338937348896,0.00735436132765763,0.00520092180389582,0.000859656496511704,0.000171931299302341,0.00653338937348896,0,0.0345195066174275,0.0130159366950226,0.237342197016288
"4",4,0.00805883140429957,0.00673045260139305,0.00757618710591019,0.00535779450505631,0.000885585868604348,0.00017711717372087,0.00673045260139305,0,0.0355607005538076,0.0134409051980618,0.25078310221435
"5",5,0.00791337640889087,0.00660897370412864,0.00743944342616059,0.00526109090920767,0.00086960180317482,0.000173920360634964,0.00660897370412864,0,0.0349188604064849,0.0133107134365561,0.264093815650906
"6",6,0.00818338272983568,0.00683447348865398,0.00769327903887299,0.00544060060609955,0.00089927282745447,0.000179854565490894,0.00683447348865398,0,0.0361103003864342,0.0137375186562624,0.277831334307169
"7",7,0.00825766852801908,0.0068965143750489,0.0077631158524399,0.00548998841697972,0.000907436101980118,0.000181487220396024,0.0068965143750489,0,0.0364380966750116,0.0138310070049178,0.291662341312086
"8",8,0.0083972259283461,0.00701306780828905,0.00789431514472536,0.0055827710842301,0.000922772080038032,0.000184554416007606,0.00701306780828905,0,0.0370539128739272,0.0140194248712609,0.305681766183347
"9",9,0.00878032320716305,0.0073330171840043,0.00825446868541536,0.00583746762674027,0.000964870682105829,0.000192974136421166,0.0073330171840043,0,0.0387443822399595,0.0146399264736845,0.320321692657032
"10",10,0.00917494152916189,0.00766258852984949,0.00862545327274504,0.00609982376389334,0.00100823533287493,0.000201647066574986,0.00766258852984949,0,0.0404856897915929,0.0152735129699897,0.335595205627021
"11",11,0.00960830152193711,0.00802451555678264,0.00903285928793098,0.00638793672612303,0.00105585731010298,0.000211171462020596,0.00802451555678264,0,0.0423979502871851,0.0159652421414148,0.351560447768436
"12",12,0.0103575093318046,0.00865022757381485,0.00973719695973499,0.00688603642389209,0.00113818783865985,0.00022763756773197,0.00865022757381485,0,0.0457039326613862,0.0171245914125929,0.368685039181029
"13",13,0.0108648055515473,0.00907390353755597,0.0102141111531304,0.00722330478976496,0.00119393467599421,0.000238786935198841,0.00907390353755597,0,0.0479424469145474,0.0178775372566524,0.386562576437681
"14",14,0.0112332502923975,0.0093816156288155,0.0105604896979627,0.00746825980978076,0.00123442310905467,0.000246884621810934,0.0093816156288155,0,0.0495682599440903,0.0184460118154836,0.405008588253165
"15",15,0.0114940337491442,0.00959941280148307,0.0108056548048273,0.00764163782223323,0.00126308063177409,0.000252616126354817,0.00959941280148307,0,0.0507190027688885,0.0188712967201212,0.423879884973286
"16",16,0.0117889684567178,0.00984573189791819,0.0110829258403539,0.00783772078715856,0.00129549103919976,0.000259098207839952,0.00984573189791819,0,0.0520204426790664,0.0193338591713769,0.443213744144663
"17",17,0.0113582027519424,0.00948597152909474,0.0106779587409744,0.00755133259881884,0.0012481541485651,0.000249630829713019,0.00948597152909474,0,0.0501196298356314,0.018594822802779,0.461808566947442
"18",18,0.0114662009094211,0.00957616779248351,0.0107794888769337,0.00762313357164806,0.00126002207795836,0.000252004415591671,0.00957616779248351,0,0.0505961865404178,0.0186921308721917,0.480500697819634
"19",19,0.0121337929809727,0.0101337172148783,0.0114070987859583,0.00806697225658072,0.00133338384406293,0.000266676768812586,0.0101337172148783,0,0.0535420282583469,0.0197945814290913,0.500295279248725
"20",20,0.0130083684840412,0.0108641319207377,0.0122292958660409,0.00864842080532407,0.00142949104220232,0.000285898208440465,0.0108641319207377,0,0.0574012127996343,0.0211921150212958,0.521487394270021
"21",21,0.0141401568829022,0.0118093617923139,0.0132933013333218,0.00940087353203936,0.00155386339372551,0.000310772678745102,0.0118093617923139,0,0.0623953845750479,0.0227832668379882,0.544270661108009
"22",22,0.014824221820944,0.0123806687735357,0.0139363975470523,0.00985566395788038,0.0016290353649389,0.000325807072987781,0.0123806687735357,0,0.0654139150791217,0.0236728570477123,0.567943518155721
"23",23,0.0154105619605477,0.0128703594395783,0.0144876217112621,0.0102454835012432,0.00169346834731293,0.000338693669462586,0.0128703594395783,0,0.0680012214863507,0.0244443483398492,0.592387866495571
"24",24,0.0161024035289527,0.0134481611890154,0.0151380288121088,0.0107054441044136,0.0017694948932915,0.0003538989786583,0.0134481611890154,0,0.0710540674401202,0.0252381286071397,0.61762599510271
"25",25,0.0163867598137479,0.0136856455587345,0.0154053549677597,0.0108944941618874,0.00180074283667559,0.000360148567335119,0.0136856455587345,0,0.0723088286067084,0.025855350664281,0.643481345766991
"26",26,0.0162421176341835,0.0135648454966808,0.0152693754242242,0.0107983309545946,0.00178484809166852,0.000356969618333704,0.0135648454966808,0,0.0716705751209494,0.0259591343521973,0.669440480119189
"27",27,0.0164754798957328,0.0137597414513812,0.015488761594285,0.010953478392218,0.00181049229623437,0.000362098459246874,0.0137597414513812,0,0.0727003181552912,0.0263426831072093,0.695783163226398
"28",28,0.016795943604322,0.0140273814717414,0.015790032696151,0.0111665339347415,0.00184570808838703,0.000369141617677406,0.0140273814717414,0,0.0741144082891812,0.0268231167537809,0.722606279980179
"29",29,0.0173160115007681,0.0144617238907514,0.0162789536691287,0.0115122933604008,0.00190285840667781,0.000380571681335562,0.0144617238907514,0,0.0764092793201475,0.0275793609822689,0.750185640962448
"30",30,0.0177002700636614,0.0147826431300908,0.0166401989444641,0.0117677619654013,0.00194508462238037,0.000389016924476075,0.0147826431300908,0,0.0781048730116839,0.0281420529550368,0.778327693917484
"31",31,0.0198311007133142,0.0165622379583723,0.0186434139123519,0.013184413111599,0.00217924183662793,0.000435848367325586,0.0165622379583723,0,0.0875074559497945,0.0302359220504949,0.808563615967979
"32",32,0.0203079433170551,0.0169604801329251,0.0190916983601545,0.0135014348426575,0.00223164212275331,0.000446328424550661,0.0169604801329251,0,0.089611589439159,0.0310117934320577,0.839575409400037
"33",33,0.0206198797981483,0.0172209985127392,0.0193849529311163,0.0137088211844832,0.00226592085693937,0.000453184171387874,0.0172209985127392,0,0.0909880520104004,0.0317418487668116,0.871317258166848
