"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00615783027558823,0.0109844222986934,0.00189104100480925,0.0109093268075277,0.00264199591646635,0.000109229805331942,0.000573456477992696,0.00228699904913754,0.000157017845164667,0.0357113194807118,0.0130739336398308,0.213073933639831
"2",2,0.00645703112377443,0.0115181408848704,0.00198292419211255,0.0114393966028731,0.00277036701208504,0.000114537137450544,0.000601319971615358,0.00239812131537077,0.000164647135085158,0.0374464853752374,0.0136811666812579,0.226755100321089
"3",3,0.00676534121147664,0.0120681086577228,0.00207760478445569,0.0119856044966072,0.00290264639561138,0.000120006052531737,0.000630031775791617,0.00251262672488323,0.000172508700514371,0.0392344787995946,0.0143050252767796,0.241060125597868
"4",4,0.00708286904606624,0.0126345191741913,0.00217511610394718,0.01254814272241,0.00303888062176013,0.000125638475318248,0.000659601995420804,0.00263055557697582,0.000180605308269982,0.0410759290243598,0.0149455974359575,0.256005723033826
"5",5,0.00740972135032939,0.0132175628078492,0.0022754909246577,0.0131272003523574,0.00317911547957592,0.000131436298897196,0.000690040569210277,0.00275194750816003,0.000188939679664719,0.0429714549707019,0.0156029626607864,0.271608685694612
"6",6,0.00772207088206969,0.0137747361965079,0.002371412011456,0.0136805646003851,0.00331312797268401,0.000136976867087711,0.000719128552210483,0.00286795315464895,0.000196904246438584,0.0447828744834885,0.0162239130510766,0.287832598745689
"7",7,0.00804080037645288,0.0143432902502358,0.00246929235507478,0.0142452317090595,0.00344987776683733,0.00014263060534728,0.000748810678073218,0.00298632829945867,0.000205031495186715,0.0466312935357263,0.0168552517411772,0.304687850486866
"8",8,0.00836585405702265,0.0149231254742233,0.00256911482682403,0.0148211028637718,0.00358934093133899,0.000148396524293085,0.000779081752538696,0.00310705222738646,0.000213320003671309,0.0485163886610704,0.0174967511573162,0.322184601644182
"9",9,0.0086971729456452,0.0155141366624647,0.00267086131479349,0.0154080735777617,0.00373149216182339,0.000154273577749804,0.000809936283186472,0.00323010303413652,0.000221768268015343,0.0504378178255766,0.0181481760437636,0.340332777687946
"10",10,0.00903469491098204,0.0161162129842241,0.00277451273873839,0.0160060337779926,0.00387630480105328,0.000160260663609438,0.000841368483949549,0.0033554576443226,0.000230374703938567,0.0523952207088106,0.0188092836445265,0.359142061332473
"11",11,0.00937835471743742,0.016729238071349,0.00288004906511105,0.0166148678918681,0.00402375085992049,0.000166356624699555,0.000873372279672666,0.00348309182964694,0.000239137648005611,0.0543882189877109,0.0194798238919236,0.378621885224396
